id	symbol
MC00364	NFYA
MC00367	GABPA
MC00368	Hsf1
MC00369	Myod1
MC00370	Npas4
MC00371	JUNB
MC00372	Yy1
MC00373	Mxi1
MC00374	TFAP2C
MC00376	ZBTB7A
MC00377	Trp53
MC00378	POU5F1
MC00385	Ets1
MC00386	BCL6
MC00388	Tal1
MC00389	CDX2
MC00391	ZNF143
MC00392	SMAD4
MC00394	MYC
MC00395	Sfpi1
MC00396	Nr3c1
MC00398	FLI1
MC00402	Hoxc9
MC00407	Myc
MC00408	Myb
MC00411	BATF
MC00412	VDR
MC00413	Runx1
MC00414	Atoh1
MC00416	Rbfox2
MC00418	ZBTB33
MC00427	ETV1
MC00430	Egr2
MC00432	HNF4A
MC00439	TP63
MC00440	NANOG
MC00448	Nr1h2
MC00452	STAT5B
MC00453	STAT5A
MC00455	Cdx2
MC00456	JUND
MC00457	ELF1
MC00458	TAL1
MC00461	Max
MC00465	NR3C1
MC00467	RXRA
MC00468	AR
MC00471	Rxra
MC00473	ATF3
MC00474	BCL11A
MC00475	Nfic
MC00476	Rarg
MC00477	ZNF711
MC00501	FOXP1
MC00502	HMGN1
MC00503	SMAD3
MC00504	Scx
MC00505	POLR2B
MC00506	Spi1
MC00507	Meis1
MC00508	Batf
MC00509	NR2C2
MC00510	E2f3
MC00511	Rxrg
MC00512	Esrrb
MC00513	SFPI1
MC00514	Cbfa2t2
MC00518	Tfcp2
MC00520	MEIS1
MC00523	E2F4
MC00524	Nr1d1
MC00530	TFAP2A
MC00532	Mycn
MS00011	BCL6B
MS00016	ETV2
MS00018	ETV4
MS00019	ETV5
MS00021	ETV6
MS00022	Elf5
MS00023	Elk3
MS00024	GLIS1
MS00025	FEV
MS00027	FLI1
MS00033	SPDEF
MS00035	GLIS2
MS00039	SPIB
MS00040	SPIC
MS00041	Spic
MS00045	GATA5
MS00046	GLIS3
MS00047	GCM1
MS00048	GCM1
MS00050	GCM2
MS00051	LEF1
MS00052	SOX9
MS00053	TCF7L1
MS00054	Tcf7
MS00055	HOMEZ
MS00057	HIC2
MS00059	HSF2
MS00060	HSF4
MS00061	HSFY2
MS00062	HSFY2
MS00065	IRF4
MS00067	IRF5
MS00070	IRF7
MS00072	IRF8
MS00073	IRF9
MS00075	MEF2B
MS00076	MEF2D
MS00079	HINFP1
MS00080	SMAD3
MS00083	MEIS2
MS00084	MEIS3
